"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","599","Full login-logout-login flow","","2026-05-10","passed","2026-05-10","Logout","Authentication","",""
"","2380","Update user with missing email returns 400","","2026-05-10","passed","2026-05-10","Update User","User Management","",""
"","2231","Create user with valid gender enum value","","2026-05-10","passed","2026-05-10","Create User","User Management","",""
"","2399","Delete user with wrong token returns 401","","2026-05-10","passed","2026-05-10","Delete User","User Management","",""
"","408","Logout with wrong token returns 401","","2026-05-10","passed","2026-05-10","Logout","Authentication","",""
"","476","Send message then retrieve it from messages list","","2026-05-10","passed","2026-05-10","Mail Send","Mail Service","",""
"","2163","Delete non-existent user returns 401 (no valid token)","","2026-05-10","passed","2026-05-10","Delete User","User Management","",""
"","13175","Login with missing password returns 400","","2026-05-10","passed","2026-05-10","Login","Authentication","",""
"","564","Token is revoked after logout","","2026-05-10","passed","2026-05-10","Logout","Authentication","",""
"","2245","Create user without profile returns 400","","2026-05-10","passed","2026-05-10","Create User","User Management","",""
"","2133","List users response does not include access_token","","2026-05-10","passed","2026-05-10","List Users","User Management","",""
"","2495","Create user with minimal required fields returns 201","","2026-05-10","passed","2026-05-10","Create User","User Management","",""
"","2398","Update user with invalid email returns 400","","2026-05-10","passed","2026-05-10","Update User","User Management","",""
"","2137","List users with page and per_page params","","2026-05-10","passed","2026-05-10","List Users","User Management","",""
"","327","List messages returns 200 with count","","2026-05-10","passed","2026-05-10","Mail Messages","Mail Service","",""
"","2210","Create user without email returns 400","","2026-05-10","passed","2026-05-10","Create User","User Management","",""
"","13492","Login with wrong password returns 401","","2026-05-10","passed","2026-05-10","Login","Authentication","",""
"","134","Health endpoint returns 200 with ok status","","2026-05-10","passed","2026-05-10","Availability","Health Check","",""
"","320","Send message returns 201 with full message object","","2026-05-10","passed","2026-05-10","Mail Send","Mail Service","",""
"","2395","Partial update email returns 200 with new email","","2026-05-10","passed","2026-05-10","Patch User","User Management","",""
"","325","Send message with html_body","","2026-05-10","passed","2026-05-10","Mail Send","Mail Service","",""
"","2394","Delete existing user returns 204","","2026-05-10","passed","2026-05-10","Delete User","User Management","",""
"","318","Send message without from field returns 400","","2026-05-10","passed","2026-05-10","Mail Send","Mail Service","",""
"","13476","Login with valid credentials returns 200 with token","","2026-05-10","passed","2026-05-10","Login","Authentication","",""
"","2375","Exists response always has X-User-Exists header","","2026-05-10","passed","2026-05-10","User Exists","User Management","",""
"","2243","Create duplicate user returns 409","","2026-05-10","passed","2026-05-10","Create User","User Management","",""
