"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Mail Service","0","Mail Messages","3","0","Negative Scenario","0"
"0","Mail Service","0","Mail Messages","5","0","Positive Scenario","0"
"0","User Lifecycle","0","Create User","16","0","Positive Scenario","0"
"0","User Lifecycle","0","User Exists","3","0","Positive Scenario","0"
"0","User Lifecycle","0","Create User","11","0","Negative Scenario","0"
"0","User Lifecycle","0","Patch User","3","0","Negative Scenario","0"
"0","Authentication","0","Logout","3","0","Positive Scenario","0"
"0","Authentication","0","Logout","3","0","Negative Scenario","0"
"0","Mail Service","0","Mailbox Delete","1","0","End to End Flow","0"
"0","Mail Service","0","Mailbox Create","6","0","Negative Scenario","0"
"0","User Lifecycle","0","Patch User","1","0","End to End Flow","0"
"0","User Lifecycle","0","List Users","5","0","Positive Scenario","0"
"0","Authentication","0","Login","6","0","Negative Scenario","0"
"0","User Lifecycle","0","Get User","4","0","Negative Scenario","0"
"0","System","0","Health Check","3","0","Positive Scenario","0"
"0","User Lifecycle","0","Update User","5","0","Negative Scenario","0"
"0","Mail Service","0","Mailbox Create","8","0","Positive Scenario","0"
"0","User Lifecycle","0","Get User","2","0","Positive Scenario","0"
"0","Authentication","0","Login","5","0","Positive Scenario","0"
"0","Mail Service","0","Mailbox Delete","2","0","Negative Scenario","0"
"0","Mail Service","0","Mail Send","1","0","End to End Flow","0"
"0","User Lifecycle","0","Create User","1","0","End to End Flow","0"
"0","User Lifecycle","0","Update User","1","0","End to End Flow","0"
"0","User Lifecycle","0","User Exists","3","0","Negative Scenario","0"
"0","Mail Service","0","Mailbox Delete","4","0","Positive Scenario","0"
"0","User Lifecycle","0","Patch User","3","0","Positive Scenario","0"
"0","Mail Service","0","Mailbox Get","2","0","Positive Scenario","0"
"0","Mail Service","0","Mail Send","4","0","Negative Scenario","0"
"0","User Lifecycle","0","Delete User","1","0","End to End Flow","0"
"0","User Lifecycle","0","Delete User","2","0","Positive Scenario","0"
"0","Mail Service","0","Mail Send","2","0","Positive Scenario","0"
"0","Mail Service","0","Mailbox Create","1","0","End to End Flow","0"
"0","User Lifecycle","0","Update User","1","0","Positive Scenario","0"
"0","User Lifecycle","0","Delete User","3","0","Negative Scenario","0"
"0","User Lifecycle","0","Options","2","0","Positive Scenario","0"
"0","Authentication","0","Logout","1","0","End to End Flow","0"
"0","Mail Service","0","Mailbox Get","1","0","Negative Scenario","0"
