"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2164","Get user with non-existent ID returns 404","","2026-05-06","passed","2026-05-06","Get User","User Management","",""
"","310","Create duplicate mailbox address returns 409","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2268","Create user with short password returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2251","Created user has correct metadata defaults","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2180","Update non-existent user returns 404","","2026-05-06","passed","2026-05-06","Update User","User Management","",""
"","420","Logout returns 200 with success message","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","2421","Partial update username returns 200","","2026-05-06","passed","2026-05-06","Patch User","User Management","",""
"","152","Create mailbox with valid domain","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","344","Delete existing mailbox returns 204","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
"","327","Get mailbox response has all required fields","","2026-05-06","passed","2026-05-06","Mailbox Get","Mail Service","",""
"","461","Deleted mailbox is not retrievable","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
"","172","Create mailbox with too-long local_part returns 400","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","13476","Login token has correct format","","2026-05-06","passed","2026-05-06","Login","Authentication","",""
"","2430","Exists response always has X-User-Exists header","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","2259","Create user with invalid gender value returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2275","Create user with valid employment status","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2157","Patch non-existent user returns 401 (wrong token)","","2026-05-06","passed","2026-05-06","Patch User","User Management","",""
"","307","Send message with html_body","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","155","Send message to non-existent mailbox returns 404","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","328","Get message with fake message ID returns 404","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","155","Create mailbox with valid domain","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2385","Patch user without token returns 401","","2026-05-06","passed","2026-05-06","Patch User","User Management","",""
"","173","Create mailbox with uppercase in local_part returns 400","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2284","Create user with valid theme setting","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2392","HEAD exists for existing user returns 200 with X-User-Exists true","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","2517","GET exists (CDN alias) for existing user returns 200","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","2253","Response headers include x-request-id after create","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2398","Update user with wrong token returns 401","","2026-05-06","passed","2026-05-06","Update User","User Management","",""
"","2162","List users response has cache-control header","","2026-05-06","passed","2026-05-06","List Users","User Management","",""
"","500","Get single message returns full body and html_body","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","2264","Access token has correct format after create","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","638","Get message with wrong mailbox token returns 404","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","2158","Create user without password returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","409","Logout with wrong token returns 401","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","2443","Create user with valid employment status","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2579","Create user with minimal required fields returns 201","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","155","Create mailbox with valid domain","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2158","Exists for invalid ObjectID returns 404","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","13243","Login with invalid email format returns 400","","2026-05-06","passed","2026-05-06","Login","Authentication","",""
"","2595","Create, delete, confirm HEAD returns 404","","2026-05-06","passed","2026-05-06","Delete User","User Management","",""
"","2180","GET exists for non-existent user returns 404","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","13500","Login response includes correct user info","","2026-05-06","passed","2026-05-06","Login","Authentication","",""
"","540","Token is revoked after logout","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
